LV_grid,LV_osmid,EV_share
2703-23_0_4,34,0.0001672173835016945
2703-23_0_4,35,0.0
2703-23_0_4,36,0.0006186938233145963
2703-23_0_4,37,0.0
2703-23_0_4,38,0.0
2703-23_0_4,39,0.0
2703-23_0_4,4,0.0
2703-23_0_4,40,0.0005776531939496725
2703-23_0_4,41,0.00032770846770510654
2703-23_0_4,42,0.0002782584192477406
2703-23_0_4,43,0.00022249391909665104
2703-23_0_4,44,0.0
2703-23_0_4,45,0.00019485973800343655
2703-23_0_4,46,0.00014303575765308528
2703-23_0_4,47,0.0
2703-23_0_4,48,0.0
2703-23_0_4,49,0.0
2703-23_0_4,5,0.0
2703-23_0_4,50,0.0
2703-23_0_4,51,0.0003026682193364149
2703-23_0_4,52,0.0012482794745642333
2703-23_0_4,53,0.00025292564305087864
2703-23_0_4,54,0.0006681454255708597
2703-23_0_4,55,0.0
2703-23_0_4,56,0.00019955366046980132
2703-23_0_4,57,0.0002530809536916178
2703-23_0_4,58,0.0
2703-23_0_4,59,0.0
2703-23_0_4,6,0.0
2703-23_0_4,60,0.0
2703-23_0_4,61,0.0
2703-23_0_4,62,0.0
2703-23_0_4,63,0.0
2703-23_0_4,64,0.0
2703-23_0_4,65,0.0003120444747494236
2703-23_0_4,66,0.00031285226479843835
2703-23_0_4,67,0.0004516600457602288
2703-23_0_4,68,0.0
2703-23_0_4,69,0.0
2703-23_0_4,7,0.00017578186732037106
2703-23_0_4,70,0.000777590817512498
2703-23_0_4,71,0.0002959396737984589
2703-23_0_4,72,0.00027981734056010987
2703-23_0_4,73,0.0003126446423084261
2703-23_0_4,74,0.00014988686113474704
2703-23_0_4,75,0.0
2703-23_0_4,76,0.0002799368820501319
2703-23_0_4,77,0.0
2703-23_0_4,78,0.0003494294149498962
2703-23_0_4,79,0.0002804176169582191
2703-23_0_4,8,0.0
2703-23_0_4,80,0.0
2703-23_0_4,81,0.0005811642511012185
2703-23_0_4,82,0.0006023784813702706
2703-23_0_4,83,0.000236158120456092
2703-23_0_4,84,0.00024251645687167422
2703-23_0_4,85,0.0
2703-23_0_4,86,0.0
2703-23_0_4,87,0.0002959302423746008
2703-23_0_4,88,0.0
2703-23_0_4,89,0.00026152472979475833
2703-23_0_4,9,0.0
2703-23_0_4,90,0.0006128786042837301
2703-23_0_4,91,0.000184605135696224
2703-23_0_4,92,0.0
2703-23_0_4,93,0.0
2703-23_0_4,94,0.0
2703-23_0_4,95,0.0
2703-23_0_4,96,0.0
2703-23_0_4,97,0.0
2703-23_0_4,98,0.00019642709764420115
2703-23_0_4,99,0.00016190289280893516
