LV_grid,LV_osmid,EV_share
2703-23_0_4,156,0.0001509943038479
2703-23_0_4,157,8.998775151643284e-05
2703-23_0_4,158,0.000128693526182
2703-23_0_4,159,0.0002048820051964
2703-23_0_4,16,6.427909958111417e-05
2703-23_0_4,160,0.0001698355108879
2703-23_0_4,161,0.0001246684839779
2703-23_0_4,162,7.855540908533106e-05
2703-23_0_4,163,0.0003006784216878
2703-23_0_4,164,8.991321873104676e-05
2703-23_0_4,165,7.403491902777989e-05
2703-23_0_4,166,5.4564596004937706e-05
2703-23_0_4,167,9.316473648897966e-05
2703-23_0_4,168,0.0001552235856652
2703-23_0_4,169,0.0
2703-23_0_4,17,0.0001320900773156
2703-23_0_4,170,0.0
2703-23_0_4,171,6.071490855938882e-05
2703-23_0_4,172,6.053427622339629e-05
2703-23_0_4,173,0.0001523884876839
2703-23_0_4,174,0.0001295579914932
2703-23_0_4,175,8.723906810560106e-05
2703-23_0_4,176,0.0001123535089732
2703-23_0_4,178,8.128547807950013e-05
2703-23_0_4,179,4.122229889272429e-05
2703-23_0_4,18,7.624733267092403e-05
2703-23_0_4,180,7.822385909107254e-05
2703-23_0_4,181,0.000102416326367
2703-23_0_4,19,5.13542403518788e-05
2703-23_0_4,2,8.824164596329793e-05
2703-23_0_4,20,0.0
2703-23_0_4,21,0.0002608496745347
2703-23_0_4,22,8.17253456105166e-05
2703-23_0_4,23,0.0
2703-23_0_4,24,0.0002202745740534
2703-23_0_4,25,0.0001711507706944
2703-23_0_4,26,0.0002482800384118
2703-23_0_4,27,0.0
2703-23_0_4,28,0.0002783822206974
2703-23_0_4,29,0.0001367632190613
2703-23_0_4,3,0.0
2703-23_0_4,30,0.0001270343434043
2703-23_0_4,31,0.0001328336657784
2703-23_0_4,32,0.0001228858579631
2703-23_0_4,33,0.0001313340191913
2703-23_0_4,34,0.0001375041034067
2703-23_0_4,35,0.0
2703-23_0_4,36,0.0005087565519602
2703-23_0_4,37,0.0
2703-23_0_4,38,0.0
2703-23_0_4,39,0.0
2703-23_0_4,4,3.274461160736456e-05
2703-23_0_4,40,0.0004750085358993
2703-23_0_4,41,0.0002694771206614
2703-23_0_4,42,0.0002288139764706
2703-23_0_4,43,0.0001829584114891
2703-23_0_4,44,0.0
2703-23_0_4,45,0.0001602346179753
2703-23_0_4,46,0.0001176193718579
2703-23_0_4,47,7.123877556878678e-05
2703-23_0_4,48,0.0
2703-23_0_4,49,4.601556482234012e-05
2703-23_0_4,5,0.0
2703-23_0_4,50,0.0
2703-23_0_4,51,0.0002488863374012
2703-23_0_4,52,0.0010264695353828
2703-23_0_4,53,0.0002079826453924
2703-23_0_4,54,0.0005494209738515
2703-23_0_4,55,8.408805235841427e-05
2703-23_0_4,56,0.0001640944654785
2703-23_0_4,57,0.0002081103584923
2703-23_0_4,58,5.7515887082429344e-05
2703-23_0_4,59,5.7363055097585e-05
2703-23_0_4,6,0.0
2703-23_0_4,60,6.765305879076721e-05
2703-23_0_4,61,5.687292909340656e-05
2703-23_0_4,62,5.735381206555258e-05
2703-23_0_4,63,8.41608286592266e-05
2703-23_0_4,64,0.0001106310583865
2703-23_0_4,65,0.000256596502259
2703-23_0_4,66,0.0002572607540497
2703-23_0_4,67,0.0003714034290954
2703-23_0_4,68,0.0
2703-23_0_4,69,8.332818814060157e-05
2703-23_0_4,7,0.0001445467424193
2703-23_0_4,70,0.000639418737097
2703-23_0_4,71,0.0002433534041496
2703-23_0_4,72,0.0002300958891094
2703-23_0_4,73,0.0002570900245254
2703-23_0_4,74,0.000123253085422
2703-23_0_4,75,0.0
2703-23_0_4,76,0.0002301941889695
2703-23_0_4,77,0.0
2703-23_0_4,78,0.0002873384178154
2703-23_0_4,79,0.000230589500875
2703-23_0_4,8,6.273179017377988e-05
2703-23_0_4,80,0.0
2703-23_0_4,81,0.0004778957044193
2703-23_0_4,82,0.0004953403244194
2703-23_0_4,83,0.0001941945863254
2703-23_0_4,84,0.0001994230938506
2703-23_0_4,85,0.0
2703-23_0_4,86,0.0001150016949663
2703-23_0_4,87,0.0002433456486193
2703-23_0_4,88,0.0
2703-23_0_4,89,0.0002150537386488
2703-23_0_4,9,5.986144253937877e-05
2703-23_0_4,90,0.000503974653917
2703-23_0_4,91,0.0001518021819061
2703-23_0_4,92,0.0
2703-23_0_4,93,0.0
2703-23_0_4,94,0.0
2703-23_0_4,95,0.0
2703-23_0_4,96,0.0
2703-23_0_4,97,0.0
2703-23_0_4,98,0.0001615234695146
2703-23_0_4,99,0.0001331339580159
